,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
10,10,15.775886410307905,2026-01-30 17:27:37.257973,2026-01-30 17:27:40.815654,0 days 00:00:03.557681,34.44006575914962,65.48864056431847,29.778932836492714,-51.83712796515681,46.02274643338388,89.70084106047311,13.888742441732713,33.92661819588482,29.0901481737546,115.0,39.71473789357657,37.61204593671597,29.224400257502943,-34.382472784031464,57.272482485331295,76.75200377574721,52.37346705425903,48.543602870072476,13.194068140846563,5.0,Unattained target,RandomSampler,PRUNED
11,11,12.647577792126683,2026-01-30 17:27:40.925510,2026-01-30 17:27:44.411107,0 days 00:00:03.485597,12.066761686300847,80.84010282438575,53.68665710665799,-24.948757349615946,60.47971131802729,69.56165695834494,49.717845420443155,35.0284139049821,16.74852741621172,110.0,98.06302543564686,95.33043932163395,64.06594930082667,-41.690746972767855,69.83448286666336,46.50615608904001,41.14474988643282,30.280132352903358,29.081075413350433,5.0,Unattained target,RandomSampler,PRUNED
12,12,6.86412618454932,2026-01-30 17:27:44.531170,2026-01-30 17:27:48.061049,0 days 00:00:03.529879,91.57132647349387,10.945915712208317,52.32102051046843,-39.17007491568956,55.362183553137264,90.92885689665574,29.355725300642156,39.48001668322431,17.32174799251116,75.0,16.469230938748648,37.769193410273814,89.35076997552225,-69.5487198165402,57.652425419054794,42.32689252201049,22.428919788981652,37.188559542947864,13.289944808659,5.0,Unattained target,RandomSampler,PRUNED
13,13,5.715097854870322,2026-01-30 17:27:48.165838,2026-01-30 17:27:51.776475,0 days 00:00:03.610637,12.42677329468651,95.84488752362664,31.19103847221773,-42.44299319200879,34.656205380930245,75.35192977501576,42.3216781128998,40.21631225690041,24.47279894233679,75.0,56.27653061983966,76.9356911024864,26.015112087848564,-43.75730811692685,53.900678321509034,48.49366963309282,37.366062570643265,44.03296723288842,16.802515684101586,5.0,Unattained target,RandomSampler,PRUNED
14,14,6.0,2026-01-30 17:27:51.900496,2026-01-30 17:27:51.959896,0 days 00:00:00.059400,64.28600858345911,82.44474673820804,47.497427286842104,-49.84980302550993,65.40252548383918,81.00762565622696,60.18497292890094,33.882682935672854,14.45720468647629,100.0,28.91270329739346,78.58675072827013,91.20100286054668,-27.876511706543994,32.23784570996631,47.20139965048651,55.53036392078804,41.157835201011565,16.691846157477695,10.0,Unfeasible shape,RandomSampler,PRUNED
15,15,20.8266482323517,2026-01-30 17:27:52.105093,2026-01-30 17:27:55.626182,0 days 00:00:03.521089,72.70617822908963,94.56383074725717,37.549652377755265,-20.709620636755425,25.255804798538023,77.19938180021299,60.71604056578794,36.10119959293481,23.065129377060355,110.0,52.50829197122685,68.33291366314842,79.97378067123805,-71.9894543319704,86.94395776607318,88.39128235501859,51.39347559908279,33.25834704673483,16.501084551642098,5.0,Unattained target,RandomSampler,PRUNED
16,16,7.081235249718617,2026-01-30 17:27:55.750145,2026-01-30 17:27:59.493188,0 days 00:00:03.743043,27.19827550930452,42.95429582608499,31.663764314996744,-39.344587400794836,78.60952581868395,48.94231798938224,92.62640201268685,32.06057417300327,26.550267450258445,90.0,49.6324054918864,60.01411129563464,99.98475718690794,-64.86416682686355,90.99324147497083,60.31082879431559,44.85450194334191,40.19991508823736,24.13383056714715,5.0,Unattained target,RandomSampler,PRUNED
17,17,8.189106372371391,2026-01-30 17:27:59.604930,2026-01-30 17:28:03.119909,0 days 00:00:03.514979,10.871234234317383,32.34907330460941,15.75432895449559,-28.26687324935827,91.06892090460573,29.860057751913043,83.04161672115639,46.03075772305982,28.333541014256056,110.0,65.99675564974359,76.55804535471376,43.69115557735905,-49.59199006458999,34.98230970685727,40.64292756243179,17.253389235309736,36.46124570032634,16.22105818718534,5.0,Unattained target,RandomSampler,PRUNED
18,18,6.0,2026-01-30 17:28:03.231503,2026-01-30 17:28:03.289517,0 days 00:00:00.058014,94.40760851160175,51.42255062928719,60.56013935143346,-33.444152071095175,23.38597035700986,69.02299124416058,14.678925676919448,31.90761805114749,19.660365434745533,105.0,85.64029146391351,73.17629247325829,40.286106588997455,-34.13586359591214,42.25311873817323,62.37344029595835,89.5386166036904,47.17127008912348,18.309970310326484,5.0,Unfeasible shape,RandomSampler,PRUNED
19,19,6.0,2026-01-30 17:28:03.404749,2026-01-30 17:28:03.464877,0 days 00:00:00.060128,76.7610890246782,89.64689108127212,45.017045318030256,-27.01904341641668,68.1035144997422,10.590245204550822,59.413834523113096,46.79419224387842,18.954414734534353,80.0,91.04069073270674,33.04812752442977,80.45400800540776,-46.828389924486245,85.87970433085921,52.73904189229982,46.39772841438941,43.161108738616235,14.524307422830137,10.0,Unfeasible shape,RandomSampler,PRUNED
20,20,6.0,2026-01-30 17:28:03.574645,2026-01-30 17:28:03.619492,0 days 00:00:00.044847,68.96064233637074,32.25807821294893,80.50943047785474,-47.06829942326904,56.643068040586755,59.911063608752414,29.660972831675696,38.84430439530295,19.03972403379826,85.0,71.38627720161105,36.55150319500692,14.216771925935964,-44.72792213346633,44.01763751157509,10.659543341097185,46.14684528731202,41.189290684502154,10.398432076377189,5.0,Unfeasible shape,RandomSampler,PRUNED
21,21,6.0,2026-01-30 17:28:03.732299,2026-01-30 17:28:03.789806,0 days 00:00:00.057507,82.41653831876975,42.281036924054945,70.90645665568516,-34.62847415580052,37.05135954369189,65.85942053175711,25.206734011524127,32.841901781512476,13.948337364580139,90.0,21.654449903674006,72.08850283216196,64.07224006444352,-45.96607322433952,75.01622912452639,49.47624671712426,23.404876059837157,47.11394704012035,13.73731663555835,5.0,Unfeasible shape,RandomSampler,PRUNED
22,22,9.852366871155368,2026-01-30 17:28:03.914734,2026-01-30 17:28:07.384183,0 days 00:00:03.469449,45.198503769880254,70.77616429204656,80.47635729506104,-57.89135443965715,23.56071703356608,34.82141579471202,94.92460772925058,47.45222348027582,28.492137854615148,95.0,34.23854438685896,99.03972397462142,51.11603441550905,-62.25493917744214,58.867102136874,30.12678074652965,41.46872702574508,30.912284113274474,27.106386554772445,10.0,Unattained target,RandomSampler,PRUNED
