,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_cma:optimizer:2,system_attrs_cma:optimizer:3,system_attrs_cma:optimizer:4,system_attrs_cma:optimizer:5,system_attrs_cma:optimizer:6,state
49,49,31.578784571644064,2026-05-19 15:34:29.082326,2026-05-19 15:35:16.380064,0 days 00:00:47.297738,16.767371715931922,34.99347744552082,40.68391289745232,-41.46118409863155,38.09406945019785,22.58564939615445,41.40454608382383,-34.96941230953958,58.66728284029372,23.52083949946018,36.18034208092835,51.50854347343856,-54.633612151065364,42.19363225852241,34.183972914401124,28.45330789436205,10.039504279851002,2.0062013439542845,,3.0,,,,,,,,COMPLETE
50,50,24.151096674725004,2026-05-19 15:35:17.546831,2026-05-19 15:36:05.213899,0 days 00:00:47.667068,11.465930379478918,33.45782887312281,41.32374615344925,-47.05741175401399,51.51851696567383,31.192174000236218,24.753425097619033,-35.03691986072936,68.5637738241071,17.93325475760069,34.58334440729835,61.42923958331891,-59.138371030841114,47.26245696377658,3.8497105454629725,19.159461738010208,-18.86409432451692,43.4696722070735,,3.0,,,,,,,,COMPLETE
51,51,14.92741136727281,2026-05-19 15:36:06.609186,2026-05-19 15:36:56.932185,0 days 00:00:50.322999,22.123173212817026,26.43528742982169,67.34407427725843,-36.232474693103455,36.33074087946352,34.44968088070773,36.96945347100412,-22.951406544180102,84.5853396323266,34.973494441919506,31.030202541193745,42.26249283875779,-64.13536313194298,31.986946035303486,34.08117604257056,34.82623816472116,-13.033662825275421,26.493991105824726,,3.0,,,,,,,,COMPLETE
52,52,30.805545733533858,2026-05-19 15:36:58.013433,2026-05-19 15:37:45.663290,0 days 00:00:47.649857,22.916561670138886,39.92506405080598,39.50964944592742,-31.501303800646923,53.65377827066528,45.140060566462175,14.193555223508904,-25.016693736926072,38.784880866803825,33.43175047513426,11.821359150854285,50.61028911887033,-42.53947463231937,63.82970614940842,35.96546684952048,38.44504530655764,-22.115072725687646,38.5400606716768,,3.0,,,,,,,,COMPLETE
53,53,46.8413949144142,2026-05-19 15:37:46.760406,2026-05-19 15:38:34.618991,0 days 00:00:47.858585,43.08415331854316,52.35733248146732,44.54805105220932,-43.022099054112275,41.448945694634766,32.3561588433339,37.79981157801596,-32.26951809460515,77.67793338213875,29.04944629380819,24.292029644159157,47.44549106250427,-43.42749777695401,54.608490645247876,39.85968911384,32.89277419628464,-12.188292780930404,37.35223534913993,,3.0,,,,,,,,COMPLETE
54,54,41.595611313120614,2026-05-19 15:38:35.730568,2026-05-19 15:39:25.765387,0 days 00:00:50.034819,28.30851451655034,57.63751506745734,43.794061822456094,-47.440035587194444,48.76829672876156,25.779325747773267,40.50556341420972,-36.70519455450129,100.00692128371671,11.74967296530735,30.319789413999747,26.071346044693875,-44.723499716930945,29.94447831189807,43.707560999429774,23.088314856766697,-10.333713480373746,26.508691923037432,,3.0,,,,,,,,COMPLETE
55,55,36.163378654945745,2026-05-19 15:39:26.965238,2026-05-19 15:40:15.664831,0 days 00:00:48.699593,34.71346512555144,41.7631797559292,40.59909465181647,-29.388564470873405,38.61739927513966,25.08535317120705,29.890976286048847,-15.85285603594847,30.53396804472012,19.798121803705264,25.53053896202114,36.97586431331276,-55.489079681474685,40.4244813489746,32.51788648203724,27.522888321059202,-8.340777373918684,51.25906755351606,,3.0,,,,,,,,COMPLETE
56,56,,2026-05-19 15:40:16.765374,2026-05-19 15:40:17.025698,0 days 00:00:00.260324,27.805047292495846,49.116322645333,50.74527192699117,-38.16025592690551,47.439516913494785,40.99650832675287,35.225592376142124,4.68420752375917,63.33600004725156,48.40502510120029,31.88668079389861,67.64091715510082,-55.78322417617419,44.359196608223,13.612861556642118,34.83177115374607,-15.504939839965871,46.86794209244831,Unfeasible shape,3.0,,,,,,,,PRUNED
57,57,25.326187159378687,2026-05-19 15:40:17.163026,2026-05-19 15:41:06.099490,0 days 00:00:48.936464,27.913974247659574,53.322770226186734,34.26436466486715,-33.19153598315809,43.255387046421895,25.501472048788838,32.884906693222305,-45.54454352116168,42.2780348213472,25.906347907968296,58.513516475374225,32.51950607263804,-47.11296351337666,52.6323598360866,28.50356245034316,29.09063928898183,6.006570458465916,43.306130169269096,,3.0,,,,,,,,COMPLETE
58,58,,2026-05-19 15:41:07.435289,2026-05-19 15:41:08.342007,0 days 00:00:00.906718,32.91216099033004,23.462942752315186,60.374541426232575,-51.00356992361515,49.65940809349479,1.4138343156656505,10.903030589072124,-17.167911989714497,48.78375204316508,35.696085350710554,27.828515504495336,46.50770899993357,-40.88397955674729,38.92493855541775,24.675178934056497,38.22744785709155,4.4696476661470825,36.774425540977866,Unfeasible shape,3.0,,,,,,,,PRUNED
59,59,31.887895724461817,2026-05-19 15:41:08.621315,2026-05-19 15:41:57.695563,0 days 00:00:49.074248,35.087665820960645,28.004076383987893,40.71745325667955,-45.39537048405786,61.07176901219226,37.52778566258762,27.88790065957085,-31.144132368041387,24.774034980891663,25.85413667504556,27.49737842868143,41.046194222476636,-48.76568267664308,38.47824182419674,26.216654905807868,29.029332070929954,-28.759437176637583,32.018794511301095,,3.0,,,,,,,,COMPLETE
60,60,34.72660622225513,2026-05-19 15:41:58.907591,2026-05-19 15:42:45.977709,0 days 00:00:47.070118,27.827189901875656,38.12308600787323,44.1384968077687,-33.55841371409877,62.452962899641015,37.07017452809781,29.976503008102895,-17.854702994628134,42.36344998334815,36.167320572511144,11.225668249898643,22.924477775277637,-41.03509643965779,50.24774510880379,20.912907443994115,21.82497479639527,-22.91563774390736,25.872944991678096,,3.0,,,,,,,,COMPLETE
61,61,25.837975049640495,2026-05-19 15:42:47.103764,2026-05-19 15:43:39.804170,0 days 00:00:52.700406,20.067931480484262,34.27536379037833,29.597583985542865,-40.92350008701956,40.15444692870967,7.037749314737292,37.50300599610166,-37.91732656080153,1.0655097248793748,41.33548354783112,16.2059754307909,35.164899831852736,-57.36601590633825,42.954573240052795,46.42665745539689,27.00383078260376,-5.3635794307447,28.46264284245204,,3.0,,,,,,,,COMPLETE
