,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
200,200,5.14675798090321,2026-04-13 10:34:18.234096,2026-04-13 10:34:23.014993,0 days 00:00:04.780897,24.3380796442001,28.291513455455387,24.488710295401276,-50.56965370526409,33.53902926929257,83.7741597783535,75.0600408551575,43.93854526077621,27.44144041186209,49.94666580292429,61.76720123656574,16.97986428734589,-46.97083437949763,32.432601124164734,91.79923280618618,35.48209985461229,49.10346575460828,18.886993264563223,Unattained target,GPSampler,PRUNED
201,201,8.967760302260075,2026-04-13 10:34:23.164430,2026-04-13 10:34:28.276689,0 days 00:00:05.112259,87.06236528821648,23.110944443093757,99.46935903922223,-39.51722501346727,20.563818597467225,68.42426689307442,56.06996604074011,30.934285878446634,20.585219640705766,77.9222734715992,88.70523514934341,60.20017736125028,-24.352352340995097,51.14288950367559,58.71037205864094,29.403014485788294,41.64599251442536,23.881334371162502,Unattained target,GPSampler,PRUNED
202,202,5.50186236855216,2026-04-13 10:34:28.430152,2026-04-13 10:34:36.956742,0 days 00:00:08.526590,87.59293288886239,49.50665108176859,38.74512912818878,-27.41873086305374,45.074101215886266,25.056079637217504,96.11171406290303,49.544155993415956,11.548651480062482,56.18886259289136,39.315639330574456,75.35715183217465,-74.77315331290572,28.567912555400177,86.80313680296437,60.773405035223114,35.16006192936991,25.781284087940357,Unattained target,GPSampler,PRUNED
203,203,5.562171866393832,2026-04-13 10:34:37.100769,2026-04-13 10:34:42.269786,0 days 00:00:05.169017,83.96205052025152,64.82216148905668,95.6067983424468,-25.94655159287541,41.41183078770655,29.20927832537817,12.441434793991824,46.54773167253367,17.807162076899566,50.337485696409075,94.43220322190467,74.27778350122007,-35.710190929930214,11.965704279809215,64.41747017554957,17.320478582647027,45.22328149823293,21.303152270892216,Unattained target,GPSampler,PRUNED
204,204,5.270607686074587,2026-04-13 10:34:42.416264,2026-04-13 10:34:47.456290,0 days 00:00:05.040026,38.77720622608073,42.05136334718973,96.09825461229731,-42.70411797618815,35.802062549952495,13.541505396531083,76.19497352599151,37.017845585986485,24.013699274364164,27.89048007207417,22.8480202534928,23.806430316082484,-44.63721562951763,10.067811168991925,83.34364610084565,75.1699849984407,42.53620739737984,25.201770905463096,Unattained target,GPSampler,PRUNED
205,205,5.320205895507016,2026-04-13 10:34:47.594905,2026-04-13 10:34:57.841780,0 days 00:00:10.246875,70.81268583147934,11.741158655946576,82.71952609582364,-66.03761842033575,80.22569410552529,20.307321361441502,43.41986008189604,45.722904069277476,22.78286487901232,67.86869002984409,11.720334932767638,56.03349172583733,-66.55818567563453,47.98140752949095,34.173527892123616,69.49745065310432,46.52926633940455,23.340581374842536,Unattained target,GPSampler,PRUNED
206,206,6.426397905615765,2026-04-13 10:34:57.981642,2026-04-13 10:35:03.334460,0 days 00:00:05.352818,38.78231460206814,58.44755827728186,50.089899713752004,-53.050769173226826,15.284600537720856,97.88748249295867,84.09629704971194,30.189215451414775,28.78039557532304,96.42192492067103,66.48861959659817,51.47992650849227,-44.533843981746315,45.42440088270182,62.80817432494303,88.28156383702657,41.21076440662662,21.088126964632696,Unattained target,GPSampler,PRUNED
207,207,6.5474706900964,2026-04-13 10:35:03.482561,2026-04-13 10:35:08.570128,0 days 00:00:05.087567,47.18238942451343,73.07302271597592,53.412639345285555,-71.14685241636059,82.35662861096823,53.64995128540122,36.3869008059362,45.41694159007753,15.258053397844867,83.99097829889222,55.61814030087801,52.53073838321043,-76.86594654744992,40.305207683519725,71.84628093772889,34.83520635382905,48.38166469790082,26.601728832113313,Unattained target,GPSampler,PRUNED
208,208,9.775963777442826,2026-04-13 10:35:08.720705,2026-04-13 10:35:13.770947,0 days 00:00:05.050242,34.220306602374535,50.00760808747152,80.7090283200332,-65.26383927897966,10.768732363184903,24.029846565996536,72.03859149981375,38.549225017204634,21.612733139865444,64.5035408627655,95.12590902474938,84.8884885441765,-52.349203119279004,42.325621298313635,31.971171591654958,86.18130058032278,32.513739077826834,20.358000914575527,Unattained target,GPSampler,PRUNED
209,209,5.369458218866598,2026-04-13 10:35:13.908324,2026-04-13 10:35:24.232529,0 days 00:00:10.324205,63.726146377005165,84.76229097190254,27.54197849601535,-33.65074554500501,12.39901677099621,44.17213724618003,44.46257974318896,49.45367854206415,19.616907152155747,48.59445283041231,37.414164571326914,21.415434771283028,-43.798807511853816,56.23823571356646,54.13310869221914,99.47860635788997,37.5670908910484,24.40176902169093,Unattained target,GPSampler,PRUNED
210,210,5.39938061787381,2026-04-13 10:35:24.379257,2026-04-13 10:35:32.554220,0 days 00:00:08.174963,23.77829924815604,60.50304428870898,13.801761512931174,-53.99199216937451,54.93251540350827,67.59470477717082,19.58041971802119,47.383655378209625,23.38284684942893,72.60791740081403,98.91601465014242,49.99385113876581,-74.20211130041827,87.94358459504555,83.37769872622971,28.223655150430822,48.6138562425251,29.865941669381208,Unattained target,GPSampler,PRUNED
211,211,14.185853003920286,2026-04-13 10:35:32.695174,2026-04-13 10:35:37.926701,0 days 00:00:05.231527,99.1725563331098,84.17339867531602,34.54705784855635,-54.731526227786574,80.75551805603692,62.01055222519135,66.80192834766464,38.30429996579676,18.0733089592445,40.75057474241825,12.514637539788245,15.239324060036743,-55.35496458273458,85.93746100053826,63.76708313952568,28.202756704896373,30.00439328187522,17.02829305323403,Unattained target,GPSampler,PRUNED
212,212,5.335406264713221,2026-04-13 10:35:38.070233,2026-04-13 10:35:43.348019,0 days 00:00:05.277786,29.787244462853273,26.298284465656447,88.03861162882441,-54.805723400069255,49.049803024232205,76.17672105807594,93.03194771727418,39.74969583693799,22.6594064646027,75.99841946744468,54.476826557076116,51.13354923326411,-31.34181472006904,14.570523379513162,13.193344248055016,59.894882045614736,35.94181680703375,11.034789092465385,Unattained target,GPSampler,PRUNED
213,213,7.553690697286388,2026-04-13 10:35:43.501489,2026-04-13 10:35:48.621948,0 days 00:00:05.120459,17.226333150996208,57.99176459029058,33.56789406670512,-41.850811336294974,85.53702916382355,58.851300576125595,46.58079717190964,32.629326745018346,19.207692237713935,20.411800077196244,56.31924600032329,66.95590650871077,-58.701905724321676,73.15805516327814,95.44965155416443,30.6746004959045,47.56208737124546,22.02323777614026,Unattained target,GPSampler,PRUNED
214,214,10.786761169005146,2026-04-13 10:35:48.775569,2026-04-13 10:35:53.702975,0 days 00:00:04.927406,52.34697264626447,18.618944612895667,81.09821806572401,-48.10220538548637,28.09938081450971,93.92023255836423,10.975238340082452,38.424620738889125,27.24415411338227,10.292817234585318,77.27393566582539,72.79552722491096,-26.765573278351354,10.569358891329966,14.078208515155719,75.37252023443513,38.31378097187654,16.392860042988566,Unattained target,GPSampler,PRUNED
215,215,0.11651128319588366,2026-04-13 10:35:53.845164,2026-04-13 10:36:04.165348,0 days 00:00:10.320184,53.21637878808919,43.471407252631735,77.38224025794588,-26.809435180421367,67.3891043235998,88.52349920506079,70.1074951679753,38.38872252241184,16.834096525942865,55.0014564450283,12.64094152297841,11.340180326445271,-73.59234340056022,65.32857400713085,41.92446603966112,40.31752633358233,45.91615778758052,29.60246277229041,,GPSampler,COMPLETE
216,216,9.235217040165914,2026-04-13 10:36:04.311599,2026-04-13 10:36:09.293695,0 days 00:00:04.982096,94.03309779710423,16.104608372517603,81.5627429269157,-43.67289705416429,23.389945502917623,49.949094885220724,46.93792903548807,34.85948653869716,29.461787843193555,25.12453689308318,95.65717259861997,24.68420877515444,-39.65196739624421,84.17454410745992,34.896530530340385,20.58676235167876,49.34966258248768,15.515342764715891,Unattained target,GPSampler,PRUNED
217,217,5.111295250358861,2026-04-13 10:36:09.457893,2026-04-13 10:36:14.607501,0 days 00:00:05.149608,59.10919444494729,49.48511702766522,68.57589503251498,-60.71804354012892,20.47017166236341,42.10613689341143,58.78742103510501,48.54045974723268,23.82265024730149,60.79059732789633,42.992753601855796,93.10951256686138,-60.46584772584874,58.725169573799505,77.51519889328988,88.34441311329942,43.7793456771928,17.971792783350047,Unattained target,GPSampler,PRUNED
218,218,8.380411207208333,2026-04-13 10:36:14.758350,2026-04-13 10:36:19.713025,0 days 00:00:04.954675,69.45170652286194,85.2890270135054,75.93620784368372,-58.13237368158728,46.186915340091105,11.684872038969766,91.04243565179206,36.760909854169384,13.502219011287607,42.38605164017644,62.34967246969549,17.440885974639823,-23.04132670324246,28.81504743997307,79.35773654006526,78.3559293929421,40.640670716286365,28.00876695970367,Unattained target,GPSampler,PRUNED
219,219,5.839712144062986,2026-04-13 10:36:19.859297,2026-04-13 10:36:24.881081,0 days 00:00:05.021784,57.70879672340066,33.015621146340834,76.56945083011796,-76.26491573634215,20.609463680134525,33.960461296181215,80.88038146251179,49.48111617621449,28.107312237442542,33.073313989663504,72.3543717994185,68.38195294001335,-33.52222044184655,47.04743630644705,19.968027636384516,52.024821807479576,33.59787578160423,28.80863205957658,Unattained target,GPSampler,PRUNED
220,220,16.63244828295246,2026-04-13 10:36:25.030938,2026-04-13 10:36:29.837125,0 days 00:00:04.806187,88.39502709963605,96.23077146432921,25.71421048640801,-59.029082686980644,98.72314483085286,61.114270072860364,92.24621924573944,48.48057696755765,23.89039869402597,89.00563888881581,87.90714147024393,10.777769484597995,-76.19807364824304,68.89193941978436,53.10866650818553,78.89135971277773,43.06392963704923,15.267247562815413,Unattained target,GPSampler,PRUNED
221,221,5.587777518354628,2026-04-13 10:36:29.984535,2026-04-13 10:36:38.461250,0 days 00:00:08.476715,79.34889882301451,25.780917740152454,10.463006805394823,-45.44050817212508,45.451414574524414,33.87043454282363,51.524102920883415,40.16592649902992,24.085078670505126,90.58944494862317,90.06023329376771,50.814741130079014,-22.76154321584633,29.671243243110176,16.395218198367953,57.749921456603296,49.494671710904285,21.64254563149938,Unattained target,GPSampler,PRUNED
222,222,9.525295089432582,2026-04-13 10:36:38.610736,2026-04-13 10:36:43.799150,0 days 00:00:05.188414,74.77975213842828,14.440979182134996,78.67554943368035,-68.48897896447816,31.14786207770565,36.96791154783962,74.44141368266048,35.72883099319183,10.520166908635405,98.69807725634779,35.138276996762116,74.99270940076647,-64.26057406645916,75.1583857124041,39.94938966447147,52.75918426736366,31.917684500372733,16.49138677938971,Unattained target,GPSampler,PRUNED
223,223,5.536182531800428,2026-04-13 10:36:43.953962,2026-04-13 10:36:49.034684,0 days 00:00:05.080722,24.88365339830516,18.571047209996028,74.52522338009213,-40.835141453875984,15.348718511700131,55.15027513943378,69.09493897189947,46.82686711519561,12.958376883346883,99.04884253853884,18.479230590540855,69.32766246949448,-49.0410582723526,53.8824419248425,83.69898765820037,69.20057921064301,49.857849732003515,14.85959016035493,Unattained target,GPSampler,PRUNED
224,224,5.014093130273004,2026-04-13 10:36:49.176955,2026-04-13 10:36:54.432530,0 days 00:00:05.255575,40.319305587600354,83.09775207715207,66.28894571776016,-39.51512599577928,64.11083368945405,41.64043496141069,51.25780584600252,47.923334677135685,23.36942552639446,27.22986757097807,43.63858029142239,37.73902227621639,-21.313518877900343,54.97148444092889,92.0288251592008,91.34064794163373,31.590533940843326,22.471127907683915,Unattained target,GPSampler,PRUNED
225,225,5.875700358274699,2026-04-13 10:36:54.582462,2026-04-13 10:37:02.963528,0 days 00:00:08.381066,30.215527385766425,24.29127089231078,30.3445845609904,-34.56252150869918,46.64367630612684,23.044723636634984,71.9258765952068,32.00918501582719,13.370052483609513,57.48321920881956,36.41582175663646,40.0954140779742,-48.75461022413188,43.5523267513641,22.72560489361372,80.48766156780586,40.29617668677773,12.950905180697676,Unattained target,GPSampler,PRUNED
226,226,9.61054287849776,2026-04-13 10:37:03.119707,2026-04-13 10:37:08.957422,0 days 00:00:05.837715,56.21725528645917,24.62753428160459,52.59388308436403,-25.997197755142395,68.23238570424638,83.08436864890888,50.669860243064136,34.36027233189597,29.029248303798724,88.53244825273416,79.68593799585311,63.22897001402621,-25.691128982840304,43.054497678542724,34.52290930929638,27.26099479658793,31.5171833457048,13.40255450464923,Unattained target,GPSampler,PRUNED
227,227,5.406935752441839,2026-04-13 10:37:09.109684,2026-04-13 10:37:14.379308,0 days 00:00:05.269624,98.78208835598748,30.62284252131532,66.87131047028754,-79.9551790768409,63.19669097392426,42.18473017493235,31.72303996936662,44.477145095347176,27.940655258786013,56.278630436215344,88.36870512790613,25.221979651762865,-26.918133936076245,72.25847311111261,54.790449307889645,22.266602309788,48.03439648929031,27.325167659586135,Unattained target,GPSampler,PRUNED
228,228,6.776987086078815,2026-04-13 10:37:14.551983,2026-04-13 10:37:19.779747,0 days 00:00:05.227764,69.01362613660623,32.48756276895217,74.88116620867072,-28.753965492925687,56.77616445259633,95.31800302792487,38.657758010770124,38.881995784252055,28.135156912473754,18.955959474258755,92.77035909791887,47.13725300749454,-48.009651135734686,73.22097985599417,88.21058493190776,98.18972565281614,43.16501619476699,18.440912516574738,Unattained target,GPSampler,PRUNED
229,229,9.903509899546904,2026-04-13 10:37:19.945735,2026-04-13 10:37:25.165430,0 days 00:00:05.219695,35.31154026563208,33.24557032261066,46.50325342558444,-78.75032567479975,46.4742205631386,66.2467362309383,72.95518143504574,35.476369607580175,24.760193812923937,60.06749737547415,59.427229658094966,89.73913617453387,-63.4190672603837,28.983266883795434,21.283482366015868,61.40321534849315,37.731835359512914,15.666949867047531,Unattained target,GPSampler,PRUNED
230,230,5.390776102075407,2026-04-13 10:37:25.323054,2026-04-13 10:37:30.788365,0 days 00:00:05.465311,16.513980001983256,58.198930744033014,47.09364431662441,-75.17004408705101,25.229181495115014,39.45820826450137,59.97183164180724,45.34914090223338,14.91820526922319,67.28979336122734,63.70231991936432,32.587879543524366,-41.99540791259517,68.27870840087735,89.86775915562828,75.87169496763069,33.35340603772417,13.137364832009856,Unattained target,GPSampler,PRUNED
