,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_auto:sampler,state
13,13,,2026-05-18 17:39:31.318113,2026-05-18 17:39:31.571548,0 days 00:00:00.253435,23.044354865286248,31.581973821226136,71.90587631593262,-66.24696602241721,6.564539549609176,37.47578679625483,66.25254592817075,-40.480238224648836,9.1284107017255,14.343843226188735,44.48364238005045,27.957682190406747,-15.974769492403084,80.08645329651671,17.183622428702172,24.436258453788756,17.938387828046444,15.623063200645085,Unfeasible shape,GPSampler,PRUNED
14,14,,2026-05-18 17:39:31.715253,2026-05-18 17:39:32.039019,0 days 00:00:00.323766,38.28001728958399,71.40726109018895,3.224384212715215,-65.80409828625656,3.684521016505058,24.718931225136384,60.75885661645713,-34.14336456621382,101.5424868033697,30.623482272282327,59.918098055887484,29.995248268701673,-36.877011171694804,31.414954872980722,33.76314758862012,65.08238890965457,16.272379539982424,109.64356110687473,Unfeasible shape,GPSampler,PRUNED
15,15,,2026-05-18 17:39:32.185846,2026-05-18 17:39:32.481975,0 days 00:00:00.296129,24.15136854586637,36.194908686082684,36.88655749229551,-32.92583822415355,3.2521694659784313,97.89036633412134,20.337527209915844,-15.859021273908134,56.457963934388644,49.032326542369255,1.8861558696072533,18.821697568706924,-32.27261154040421,49.37790858796549,18.430525774148435,82.44066106834957,-50.39608547925715,22.090248117935886,Unfeasible shape,GPSampler,PRUNED
16,16,,2026-05-18 17:39:32.620390,2026-05-18 17:39:32.906547,0 days 00:00:00.286157,97.03705216910332,72.21729952995712,93.86321309678546,-39.66600175711278,47.70357094317464,96.52216713969418,68.46845509303475,-19.13229210807451,91.29029582614358,4.915525208685633,37.22550379992326,10.726868330223834,-34.25506119883754,85.39506401307855,87.8830847186645,66.03231073590287,-50.620801696911,50.873786084521996,Unfeasible shape,GPSampler,PRUNED
17,17,,2026-05-18 17:39:33.031522,2026-05-18 17:39:33.280990,0 days 00:00:00.249468,8.865137184928274,85.63839999522277,35.04110086044525,-72.76581314619543,8.699283694533852,48.544925176587434,20.5225250083082,-22.62462677824611,169.529666699259,87.19142310490287,51.23041065805686,76.98711887318764,-44.17520004931188,70.13191611808558,77.64057899230889,94.15420385227706,7.1904859232701455,30.72705463456691,Unfeasible shape,GPSampler,PRUNED
18,18,,2026-05-18 17:39:33.412309,2026-05-18 17:39:33.745045,0 days 00:00:00.332736,45.35553902341173,43.023115722343015,15.089270650062081,-57.15741530512388,44.70224025218671,6.504600005289805,50.026245261665146,9.937359672989984,70.03531977524949,16.132045385724826,1.9584683615872356,68.45059837047718,-21.199991598671154,55.392921830386655,59.137106680384846,85.13531788121635,-15.295930482177724,107.979285861402,Unfeasible shape,GPSampler,PRUNED
19,19,,2026-05-18 17:39:33.879267,2026-05-18 17:39:34.128009,0 days 00:00:00.248742,37.69631237171426,6.716096264801527,44.49412243577492,-26.966265823240207,24.287006526621745,31.15928743863819,57.74105943255068,10.56793217099272,27.472086457689414,68.39990318905866,69.54154783154557,65.34839825282506,-59.96365193033134,41.89537302896437,51.04276655961415,91.10745716848378,-25.021190138290912,56.85215250257609,Unfeasible shape,GPSampler,PRUNED
20,20,,2026-05-18 17:39:34.264067,2026-05-18 17:39:34.493834,0 days 00:00:00.229767,6.251462327032143,44.46109384179559,12.96949033100414,-73.13503318770196,95.1353914518136,63.20813790404465,4.482265741199855,-47.45991604054599,84.91129610743427,71.65247388695016,74.0696651172594,17.961641848139923,-16.434895877791732,10.421923290632103,63.14609539328792,39.03844412970091,15.416196298217997,5.788597475984414,Unfeasible shape,GPSampler,PRUNED
21,21,,2026-05-18 17:39:34.631556,2026-05-18 17:39:34.909720,0 days 00:00:00.278164,7.118412198729174,35.41612150812795,11.517807978443962,-33.77126982279872,72.562038233262,72.1680749905492,89.10495407291785,28.974300064673756,63.985281478966854,50.322621066374275,30.737387253625148,86.63260035412146,-73.26271930778155,75.79692264696133,57.40493657611294,94.45441914611716,7.678480610327526,82.50998523825314,Unfeasible shape,GPSampler,PRUNED
22,22,,2026-05-18 17:39:35.043941,2026-05-18 17:39:35.284376,0 days 00:00:00.240435,32.606538785428334,80.4189952366801,25.766582033806024,-37.27670198875126,39.73147073784957,87.81752905213645,40.89636771873806,-16.1818415092916,116.5109764401619,22.80143926596671,23.730129520704548,32.75234812160337,-19.56538486546728,10.449015541954285,15.707490544773984,31.21469632656753,25.284318294531218,51.09900022709577,Unfeasible shape,GPSampler,PRUNED
