,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
500,500,21.041521513979212,2026-04-20 11:51:51.897025,2026-04-20 11:51:56.986739,0 days 00:00:05.089714,39.225888314640514,99.98100928490186,77.16377589006102,-30.69146615370184,38.25282470830099,49.913705772609724,73.72285878798114,37.913917818355586,17.72304828574711,36.28585865680898,43.84599615966868,25.456207938315494,-63.64290150680421,98.76840179451018,78.60918649727654,57.39459401120522,31.41244368180796,11.530492165340657,Unattained target,GPSampler,PRUNED
501,501,7.285908494480047,2026-04-20 11:51:57.137645,2026-04-20 11:52:01.594069,0 days 00:00:04.456424,26.25984937351918,85.68737690965597,36.574400888401414,-29.697058382472,58.37852125887288,74.10392222726438,30.146782253175,31.848588742851977,18.447328988932732,40.46128175347835,64.8123811617275,66.2296655591528,-63.74092808632905,52.38822655437699,57.13086899742144,32.264507852905034,35.31790425671042,15.926283728311226,Unattained target,GPSampler,PRUNED
502,502,8.717587647713515,2026-04-20 11:52:01.742027,2026-04-20 11:52:06.026852,0 days 00:00:04.284825,73.10426591253108,41.159606425603656,96.98696037881453,-65.42869751705112,44.896695032695,25.567011239495947,97.21533457404708,48.75984470009725,23.101698596954073,98.76760938017611,48.96264221137241,41.02408400635875,-22.194278735047078,66.53983856890437,63.34515711845653,41.60245006981299,39.3709232859032,23.383051717099193,Unattained target,GPSampler,PRUNED
503,503,25.593415806836326,2026-04-20 11:52:06.180276,2026-04-20 11:52:10.533006,0 days 00:00:04.352730,97.13451831395828,66.6923035714931,95.62441741211026,-54.87400236304026,15.617305043187066,42.63503746261201,30.47743691547023,35.851727643645994,29.096372654482515,29.867537049617315,78.07045414116192,81.45512586662224,-58.34280021166552,76.02885252294459,16.55059209209307,10.893355567668204,34.34870751096233,29.73518380987608,Unattained target,GPSampler,PRUNED
504,504,0.17073337737798155,2026-04-20 11:52:10.699907,2026-04-20 11:52:18.797026,0 days 00:00:08.097119,90.06526014953948,41.44099938796258,52.135136971610976,-35.06815707595032,96.73726070966457,65.51409810405477,69.74833047271315,48.64423410438273,25.631392009762422,47.10302779544408,55.38830218025449,40.77397822039056,-25.271478665768278,12.06102611001782,21.577840239034014,90.37566335654466,48.00529351440028,24.454839349600324,,GPSampler,COMPLETE
505,505,8.79775588483907,2026-04-20 11:52:20.025904,2026-04-20 11:52:24.595045,0 days 00:00:04.569141,47.26255896448968,75.97232696293254,40.84630160245327,-42.80850553938944,93.75398424697634,66.88840863404533,11.76316979949861,31.351036938741103,28.610094835337286,60.00349950124066,56.74959755712999,47.698981357768375,-32.254096492634865,58.700194503213126,17.31890938636469,98.24502013369016,32.05626026010223,12.19062081817022,Unattained target,GPSampler,PRUNED
506,506,5.279525539751589,2026-04-20 11:52:24.744198,2026-04-20 11:52:29.424317,0 days 00:00:04.680119,35.702352560924496,38.45249418423732,31.327284831887614,-51.41267960736512,24.82811874472667,84.11108408538219,87.13346668259415,32.18799204936494,28.33477643580601,43.71671008752626,66.26943179530028,99.61212479218294,-23.732212092155216,39.01758108675664,31.222615008000098,52.68481936969297,31.248926046236846,12.65573817735495,Unattained target,GPSampler,PRUNED
507,507,8.009144125594823,2026-04-20 11:52:29.583067,2026-04-20 11:52:33.518850,0 days 00:00:03.935783,64.71780495195614,23.723306898851874,13.998144780866038,-63.814655618379106,41.265712871226825,73.99173460454723,78.42224571019369,35.80362821377106,12.09365793800145,66.32471386764462,48.58454284513298,88.21398095619855,-27.214306220853842,65.58644124007685,17.7115286022852,54.348484737322245,34.091952418995206,22.375976346223652,Unattained target,GPSampler,PRUNED
508,508,34.92304570333084,2026-04-20 11:52:33.666685,2026-04-20 11:52:38.282012,0 days 00:00:04.615327,22.653240808959843,87.32299473763794,11.80725012958887,-48.29191197853309,32.92341900721083,72.02660971228684,97.89087592603163,32.13717181786581,21.508416146785304,36.23657128541529,79.84878241806419,74.1216422540255,-69.19016197596665,93.61583012748684,86.22136359911568,16.418676837912436,35.85094182158705,19.649081951443257,Unattained target,GPSampler,PRUNED
509,509,6.2275936151361435,2026-04-20 11:52:38.428784,2026-04-20 11:52:43.219970,0 days 00:00:04.791186,73.23145223169371,15.068223258164284,78.59709637781694,-45.248426941261066,57.89528883414221,86.2905328017134,30.9672868953952,32.50383646278339,19.15159710962199,89.26140833392205,27.180290109492667,46.310153599632145,-60.02692383115791,57.68708250844448,97.68447024497644,18.40447902528817,46.958137342406694,17.880894891590934,Unattained target,GPSampler,PRUNED
510,510,7.576496846783421,2026-04-20 11:52:43.360870,2026-04-20 11:52:48.057901,0 days 00:00:04.697031,58.73978212461505,34.31612921099577,49.41617002434184,-57.85161161057406,79.64610916958006,93.15169936046146,78.93930452359454,35.72888384132283,15.596438572379768,36.57694530580845,25.724710232727645,56.33304154606093,-71.93209008376968,42.062872613109235,42.19509468453272,81.01173148605339,31.938294509161928,21.45351198165862,Unattained target,GPSampler,PRUNED
511,511,21.91835391907304,2026-04-20 11:52:48.223066,2026-04-20 11:52:52.633472,0 days 00:00:04.410406,27.264424715294545,87.60312707975962,68.09080484925366,-34.76643158887641,95.23309099360128,63.79624774167679,42.66275661343033,46.7894781849073,22.976218586209257,83.1151772562881,12.977135316601522,28.78929867802713,-52.291141972604635,92.67447722470344,44.22398690275601,42.74804153401744,37.54385064682718,20.07110536277675,Unattained target,GPSampler,PRUNED
