,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
10,10,,2026-05-13 16:29:19.236296,2026-05-13 16:29:19.527803,0 days 00:00:00.291507,91.86419488688763,159.55398340594408,119.77952692357881,-41.09306454721158,102.27160906571093,114.05187066304231,77.4502857014816,39.99374191700091,54.37719244313541,115.40916718173415,102.18680474490135,87.37818932707017,-48.65453783349131,92.87634982360842,69.99108587304953,113.89895937944087,25.318196307813196,48.169462025244115,Unfeasible shape,0.0,PRUNED
11,11,,2026-05-13 16:29:19.623184,2026-05-13 16:29:19.874691,0 days 00:00:00.251507,151.87400709638285,109.82984148928792,127.23280817589739,-32.35953795730234,71.26259005918102,15.506027503380746,52.87242793868362,27.381832687388556,41.72792381396598,55.52295449399909,78.73808391659571,183.01428221727707,-58.25669967763668,80.68451256767061,140.1647854578321,111.41912538892491,39.95515202672097,18.61659862412553,Unfeasible shape,0.0,PRUNED
12,12,,2026-05-13 16:29:19.970575,2026-05-13 16:29:20.199573,0 days 00:00:00.228998,74.46338823759056,108.86637354195076,148.07211144819038,-52.2796837895758,115.94232416317573,97.27455768128321,95.59836905642571,50.212717092287264,40.72733798133469,132.98524565916838,137.495600853865,21.95861657505841,-42.95618378733281,63.39276674172143,176.50441838151025,110.41795661949602,44.964192705276005,39.16442896159455,Unfeasible shape,0.0,PRUNED
13,13,,2026-05-13 16:29:20.314578,2026-05-13 16:29:20.544087,0 days 00:00:00.229509,142.6989224082971,129.72533211518234,60.908349072435634,-37.31143079499803,104.2364902705645,169.8553755496646,129.2953240609863,30.30268463757044,27.026416534194276,106.22513123535055,127.11348409523082,80.92721532996629,-41.62487507893245,125.89851829357012,190.48820301187445,132.26659779891685,23.701449198589305,41.51109350781724,Unfeasible shape,0.0,PRUNED
14,14,,2026-05-13 16:29:20.654408,2026-05-13 16:29:20.904668,0 days 00:00:00.250260,96.46573031903314,86.7698061917801,172.5844236604266,-52.9226405646365,79.52970579565277,82.33247793751497,62.398724189227174,31.108684005644033,51.12026825701121,135.9272935869621,132.44156539433007,105.44908922028762,-36.56158024210037,161.17420938993703,104.42169759817887,114.92725911401462,45.93063158795066,47.56081595221685,Unfeasible shape,0.0,PRUNED
15,15,,2026-05-13 16:29:21.023058,2026-05-13 16:29:21.262468,0 days 00:00:00.239410,111.86776739287914,82.67682601796908,110.04606118687963,-38.10593888383481,110.07329220681446,159.25474522495074,152.1063568282851,53.27972448948963,35.162639274264855,120.09168286773554,122.05724901838023,39.78847463198198,-44.994233208034224,143.6969235776519,116.08099809356929,104.16187144670592,60.54282843198971,31.0804164061601,Unfeasible shape,0.0,PRUNED
16,16,,2026-05-13 16:29:21.459659,2026-05-13 16:29:21.724099,0 days 00:00:00.264440,74.03462487410629,145.25200764949457,102.38612587592591,-62.53285522796428,100.79004097927199,180.70612958448638,94.073519829726,39.3490502658898,32.47573998683771,123.50304217343427,95.66497622556383,131.50982928655338,-48.452322104566335,139.71922057977744,49.221155778128455,111.52066863798302,27.94530478926607,31.240014389182534,Unfeasible shape,0.0,PRUNED
17,17,,2026-05-13 16:29:21.832573,2026-05-13 16:29:22.069682,0 days 00:00:00.237109,69.91365011347854,92.06477466610326,64.73859497505894,-35.926690246178275,81.2667521469646,91.12842536419406,147.77118513836513,60.12444712469583,45.47805687022915,61.835714915969334,120.99102579498282,58.434792602649615,-33.53918862926833,63.34811756072009,152.91126872763581,106.34781046509426,55.529059612754075,50.38050600911726,Unfeasible shape,0.0,PRUNED
18,18,,2026-05-13 16:29:22.173136,2026-05-13 16:29:22.404868,0 days 00:00:00.231732,126.04631301641491,106.14148237414112,107.45031316653922,-67.08422787742863,86.62436987668752,96.50126098528261,93.9292504749164,38.01392087228491,41.02666811784393,170.46306940309947,89.76664663417483,61.15812560598953,-46.507643901952214,94.71055458139905,123.6687966605398,93.29402773358363,61.1885233035137,42.09537314535465,Unfeasible shape,0.0,PRUNED
19,19,,2026-05-13 16:29:22.511783,2026-05-13 16:29:22.798652,0 days 00:00:00.286869,90.10862586735811,103.7403024876274,105.61662650526338,-53.37989795460546,67.89785923043934,89.28844840528423,114.9790804702573,46.89683594373598,17.78008081933208,116.38383032561838,182.30885083856697,92.35491642259457,-51.17626832956421,110.47985664512208,107.18992527471086,61.72792422520194,23.37458657338919,30.021298941725384,Unfeasible shape,0.0,PRUNED
