Study                  : no-name-71c709e9-ea47-4549-a869-03f95a4de447
- Start                : 2026-05-12 18:54:33.099156
- End                  : 2026-05-12 22:04:11.103077
- Duration             : 3:09:38.003921
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 1000
-- Completed trials    : 612, 61.20 %
-- Pruned trials       : 388, 38.80 %
--- Unfeasible shapes  : 388, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 840, Value : 41.138041, Duration : 0:00:16.960168
                         Trial number : 477, Value : 41.139434, Duration : 0:00:19.777344
                         Trial number : 360, Value : 41.146011, Duration : 0:00:17.601471
                         Trial number : 697, Value : 41.146614, Duration : 0:00:19.504950
                         Trial number : 362, Value : 41.148151, Duration : 0:00:18.762519
                         Trial number : 678, Value : 41.148154, Duration : 0:00:21.424352
                         Trial number : 889, Value : 41.148173, Duration : 0:00:16.546583
                         Trial number : 759, Value : 41.148711, Duration : 0:00:16.807279
                         Trial number : 462, Value : 41.148883, Duration : 0:00:17.400973
                         Trial number : 779, Value : 41.149083, Duration : 0:00:14.611292
                         Trial number : 930, Value : 41.149198, Duration : 0:00:17.251373
                         Trial number : 815, Value : 41.149227, Duration : 0:00:17.026634
                         Trial number : 688, Value : 41.151713, Duration : 0:00:19.409684
                         Trial number : 770, Value : 41.151903, Duration : 0:00:19.299212
                         Trial number : 474, Value : 41.152309, Duration : 0:00:17.175979
                         Trial number : 859, Value : 41.152558, Duration : 0:00:16.797874
                         Trial number : 675, Value : 41.153446, Duration : 0:00:17.335690
                         Trial number : 804, Value : 41.154636, Duration : 0:00:17.421981
                         Trial number : 903, Value : 41.154848, Duration : 0:00:15.054240
                         Trial number : 642, Value : 41.155461, Duration : 0:00:19.521657
                         Trial number : 836, Value : 41.159664, Duration : 0:00:17.968953
                         Trial number : 853, Value : 41.163941, Duration : 0:00:16.926387
                         Trial number : 843, Value : 41.166478, Duration : 0:00:16.813855
                         Trial number : 860, Value : 41.168451, Duration : 0:00:16.762668
                         Trial number : 648, Value : 41.169239, Duration : 0:00:19.486615
                         Trial number : 415, Value : 41.169457, Duration : 0:00:14.865452
                         Trial number : 750, Value : 41.171063, Duration : 0:00:17.529892
                         Trial number : 719, Value : 41.172056, Duration : 0:00:18.864126
                         Trial number : 738, Value : 41.172776, Duration : 0:00:16.977623
                         Trial number : 677, Value : 41.172943, Duration : 0:00:17.233410
                         Trial number : 934, Value : 41.173003, Duration : 0:00:16.794782
                         Trial number : 543, Value : 41.176079, Duration : 0:00:17.529603
                         Trial number : 626, Value : 41.177693, Duration : 0:00:14.665375
                         Trial number : 595, Value : 41.177827, Duration : 0:00:16.663710
                         Trial number : 861, Value : 41.178833, Duration : 0:00:14.667392
                         Trial number : 457, Value : 41.180281, Duration : 0:00:17.079182
                         Trial number : 598, Value : 41.180520, Duration : 0:00:19.812032
                         Trial number : 382, Value : 41.181155, Duration : 0:00:17.292472
                         Trial number : 401, Value : 41.183860, Duration : 0:00:15.303921
                         Trial number : 870, Value : 41.183923, Duration : 0:00:16.205836
                         Trial number : 631, Value : 41.184134, Duration : 0:00:17.510131
                         Trial number : 519, Value : 41.184289, Duration : 0:00:19.336845
                         Trial number : 575, Value : 41.184882, Duration : 0:00:16.120999
                         Trial number : 592, Value : 41.184995, Duration : 0:00:16.611123
                         Trial number : 868, Value : 41.185744, Duration : 0:00:14.594610
                         Trial number : 450, Value : 41.186699, Duration : 0:00:16.430816
                         Trial number : 714, Value : 41.186709, Duration : 0:00:16.792842
                         Trial number : 782, Value : 41.189789, Duration : 0:00:19.060971
                         Trial number : 426, Value : 41.190041, Duration : 0:00:18.727985
                         Trial number : 679, Value : 41.190104, Duration : 0:00:17.170680
                         Trial number : 729, Value : 41.191490, Duration : 0:00:21.097586
                         Trial number : 633, Value : 41.193170, Duration : 0:00:17.720608
                         Trial number : 728, Value : 41.193507, Duration : 0:00:17.055558
                         Trial number : 580, Value : 41.193717, Duration : 0:00:17.557498
                         Trial number : 644, Value : 41.193805, Duration : 0:00:19.045177
                         Trial number : 686, Value : 41.193899, Duration : 0:00:17.458311
                         Trial number : 857, Value : 41.194510, Duration : 0:00:15.726511
                         Trial number : 638, Value : 41.194971, Duration : 0:00:17.179672
                         Trial number : 908, Value : 41.195644, Duration : 0:00:18.896729
                         Trial number : 353, Value : 41.195881, Duration : 0:00:19.904530
                         Trial number : 503, Value : 41.196696, Duration : 0:00:16.681677
                         Trial number : 872, Value : 41.196964, Duration : 0:00:16.759720
                         Trial number : 942, Value : 41.197134, Duration : 0:00:17.090322
                         Trial number : 788, Value : 41.197422, Duration : 0:00:14.755173
                         Trial number : 522, Value : 41.200109, Duration : 0:00:16.349658
                         Trial number : 778, Value : 41.200321, Duration : 0:00:17.145818
                         Trial number : 745, Value : 41.203452, Duration : 0:00:19.592901
                         Trial number : 852, Value : 41.204934, Duration : 0:00:16.659711
                         Trial number : 482, Value : 41.207750, Duration : 0:00:14.951211
                         Trial number : 531, Value : 41.209625, Duration : 0:00:15.340065
                         Trial number : 448, Value : 41.210220, Duration : 0:00:16.502521
                         Trial number : 663, Value : 41.210926, Duration : 0:00:31.155571
                         Trial number : 820, Value : 41.211270, Duration : 0:00:17.383063
                         Trial number : 824, Value : 41.212368, Duration : 0:00:17.355630
                         Trial number : 832, Value : 41.214199, Duration : 0:00:16.406376
                         Trial number : 637, Value : 41.217298, Duration : 0:00:17.227561
                         Trial number : 666, Value : 41.218209, Duration : 0:00:16.992908
                         Trial number : 921, Value : 41.218326, Duration : 0:00:15.034080
                         Trial number : 162, Value : 41.219328, Duration : 0:00:17.270175
                         Trial number : 646, Value : 41.226747, Duration : 0:00:17.358270
                         Trial number : 907, Value : 41.230626, Duration : 0:00:16.571487
                         Trial number : 461, Value : 41.230838, Duration : 0:00:16.728496
                         Trial number : 399, Value : 41.231722, Duration : 0:00:19.579021
                         Trial number : 181, Value : 41.233194, Duration : 0:00:16.092777
                         Trial number : 526, Value : 41.233300, Duration : 0:00:14.906567
                         Trial number : 748, Value : 41.236140, Duration : 0:00:19.067990
                         Trial number : 335, Value : 41.236774, Duration : 0:00:16.955670
                         Trial number : 430, Value : 41.238386, Duration : 0:00:14.325030
                         Trial number : 549, Value : 41.240439, Duration : 0:00:16.885715
                         Trial number : 535, Value : 41.241699, Duration : 0:00:16.797849
                         Trial number : 702, Value : 41.242981, Duration : 0:00:20.075625
                         Trial number : 349, Value : 41.246071, Duration : 0:00:14.787342
                         Trial number : 650, Value : 41.251714, Duration : 0:00:18.570569
                         Trial number : 614, Value : 41.251997, Duration : 0:00:20.473246
                         Trial number : 453, Value : 41.255091, Duration : 0:00:16.896888
                         Trial number : 210, Value : 41.255832, Duration : 0:00:14.273396
                         Trial number : 833, Value : 41.255983, Duration : 0:00:16.972681
                         Trial number : 550, Value : 41.258449, Duration : 0:00:17.358551
                         Trial number : 866, Value : 41.262634, Duration : 0:00:17.015174
                         Trial number : 216, Value : 41.263708, Duration : 0:00:19.366656
                         Trial number : 766, Value : 41.263939, Duration : 0:00:18.993411
                         Trial number : 486, Value : 41.263985, Duration : 0:00:17.128858
                         Trial number : 605, Value : 41.264669, Duration : 0:00:17.363226
                         Trial number : 683, Value : 41.267687, Duration : 0:00:22.013052
                         Trial number : 323, Value : 41.271647, Duration : 0:00:17.712712
                         Trial number : 302, Value : 41.272840, Duration : 0:00:15.134733
                         Trial number : 554, Value : 41.274955, Duration : 0:00:17.060833
                         Trial number : 352, Value : 41.277608, Duration : 0:00:14.711702
