,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
29,29,5.030139311109664,2026-04-13 11:34:12.974905,2026-04-13 11:34:21.558683,0 days 00:00:08.583778,29.218420631719926,33.65356133844978,18.409097631676175,-28.827834933385233,66.96602929336103,26.252449151638785,78.1032602724355,44.867305062348315,17.84850848322019,26.80594476220472,57.22707128132348,89.20189047162786,-20.724077445929865,43.030284086798446,71.59383549264237,87.58928254596773,36.10566809369247,24.012763617401575,Unattained target,GPSampler,PRUNED
30,30,15.987206535807815,2026-04-13 11:34:21.718138,2026-04-13 11:34:26.368378,0 days 00:00:04.650240,16.30374021311154,88.88862700249656,77.43765423993116,-75.0281154475372,27.20332621814135,30.557853889903804,60.65605212794768,43.369654924825795,21.600547857202127,15.014027699166324,68.64119862425886,11.202856472438722,-64.29104982354403,69.62740230052157,94.73615449376386,16.661246989053243,33.29806988256808,14.199470150472814,Unattained target,GPSampler,PRUNED
31,31,7.433332161991217,2026-04-13 11:34:26.495706,2026-04-13 11:34:32.005592,0 days 00:00:05.509886,37.316706650306855,90.1833482954061,13.939171825640761,-57.705525351264676,29.01814674086087,44.981181790933896,29.928930713191704,32.18338737954014,19.636261843185125,99.82693299556742,94.13265342217359,45.82291991170747,-38.069133806719705,84.37998735960143,79.13191394728112,94.89345901455751,34.95467635801438,20.724464408830897,Unattained target,GPSampler,PRUNED
32,32,6.8265625391098865,2026-04-13 11:34:32.134171,2026-04-13 11:34:37.385064,0 days 00:00:05.250893,55.34676270410601,20.116411426556127,57.58545460873208,-53.686572940730244,25.596131771422897,49.51557913944239,40.432583629360245,30.79162670104928,17.203628085478503,80.03413315365802,45.32268433646237,89.09760053847144,-55.06867980863166,88.75846485800729,85.42702869800071,58.149796601982814,45.19075968022395,27.015946466042685,Unattained target,GPSampler,PRUNED
33,33,5.091220357038573,2026-04-13 11:34:37.551755,2026-04-13 11:34:42.535895,0 days 00:00:04.984140,19.934617038814906,79.71095835629482,43.34198858684272,-26.74158418765367,34.53244991958664,70.50735705881236,19.9346492882207,43.089629877136474,11.860996836549994,17.685838757534405,71.1295717989285,95.7193514294504,-29.627726335128244,56.51157300547693,55.85481628027432,64.79998416040843,43.3280627607442,24.617826005860625,Unattained target,GPSampler,PRUNED
34,34,5.151898076786686,2026-04-13 11:34:42.692200,2026-04-13 11:34:52.279360,0 days 00:00:09.587160,22.833485732182943,62.94833534572761,36.85716289853371,-29.133234706040383,25.190658349477225,81.88708619812665,69.75779264313616,44.67619105473953,22.58500507966847,72.96135726963833,13.72521314052768,47.75614157804235,-73.50831053641754,33.31645020857292,51.44727842779796,55.151152386915726,37.56427831675141,16.958404600068164,Unattained target,GPSampler,PRUNED
35,35,15.750661746356101,2026-04-13 11:34:52.431095,2026-04-13 11:35:01.269276,0 days 00:00:08.838181,33.93295129479175,84.53676519695657,75.8684953449146,-32.14158748186908,52.52503535985984,77.52623974725421,72.4632748949353,36.93968556117283,12.993394173277563,14.05914187223875,91.36265164230883,61.77980750629521,-61.64547797900915,54.73141831314649,69.27009269592898,25.194469956920788,31.206614231544563,13.166584943264809,Unattained target,GPSampler,PRUNED
36,36,5.662378060541663,2026-04-13 11:35:01.432558,2026-04-13 11:35:17.519149,0 days 00:00:16.086591,17.368417737559252,17.893151184566737,21.697586418483702,-57.409406232982285,19.31249942165792,15.530320930959736,24.374653890643344,33.862615556923124,24.980962093394425,63.37563172897609,33.43438974655828,49.14904670554288,-25.346313012065544,61.28176646423421,97.67984506652652,25.102726942185363,45.71453348221965,20.088355698116125,Unattained target,GPSampler,PRUNED
37,37,6.5895877494955,2026-04-13 11:35:17.722671,2026-04-13 11:35:26.519970,0 days 00:00:08.797299,96.83125677472842,47.61266000069452,96.53752289189275,-71.0251195219292,11.894122760311683,13.249110614691098,26.70302765829072,47.849403265756834,28.4320714226319,53.24696887279791,29.6198280424964,31.23935744993019,-26.989695555737583,12.872401265787767,48.21061087543885,30.088994774358852,31.378539908615238,16.720342131055297,Unattained target,GPSampler,PRUNED
38,38,7.105592991059751,2026-04-13 11:35:26.694721,2026-04-13 11:35:35.800574,0 days 00:00:09.105853,80.96571297442057,24.636166582573388,20.53040114087121,-35.38996869092337,71.98528791618227,38.64057570823165,76.74785948372072,33.428589463411754,16.58110216524224,42.3330696267076,75.62786476174942,16.15157481379441,-46.65071850776451,23.814182109568307,36.87596927876282,74.9056342106457,31.40471008014285,17.173972361953805,Unattained target,GPSampler,PRUNED
