,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,user_attrs_prune,system_attrs_auto:sampler,state
27,27,5.396312117406772,2026-04-10 11:23:09.448145,2026-04-10 11:23:13.923599,0 days 00:00:04.475454,34.68967040282767,53.595741039269406,24.593985780640693,-52.794437631974276,70.94844052840406,68.3811182134317,14.959388321230424,37.161690175174094,27.21094926782005,21.968392222153092,18.08780130899433,14.749981284770227,-78.43005038572424,89.41137765787852,36.11234358265406,65.7993124742829,32.51921468717329,18.21650075608826,Unattained target,RandomSampler,PRUNED
28,28,17.093512401343453,2026-04-10 11:23:14.088391,2026-04-10 11:23:18.272263,0 days 00:00:04.183872,30.320460622452067,16.61963527572767,89.07828569216309,-39.6926515527001,50.36557605743386,75.96746105508588,24.353039449546593,43.23489903500242,12.328421902412208,49.91819665663343,95.28172129554682,40.048816695329464,-78.8243546303728,27.0258602889923,26.21406648390589,77.00708402055221,44.93068741656114,23.11770785885144,Unattained target,RandomSampler,PRUNED
29,29,5.856495406145342,2026-04-10 11:23:18.444488,2026-04-10 11:23:24.290131,0 days 00:00:05.845643,68.02813159279711,24.620193312119458,36.108668120086136,-26.580348128374652,71.98241859000757,58.78157548587658,88.51555169355385,34.823738079323164,26.03374265055883,37.553793559114794,68.59161740384525,67.37682422269931,-56.74831334267669,27.025524073467505,89.82021081317966,92.77642093402105,42.25269525562665,14.520153727301835,Unattained target,RandomSampler,PRUNED
30,30,6.467096083079035,2026-04-10 11:23:24.467440,2026-04-10 11:23:28.845413,0 days 00:00:04.377973,39.73836495867468,83.33323120085183,70.1490089799557,-44.39463765945226,78.45483617032023,93.28020192372286,44.43710612025535,31.119448624974893,24.34093350643451,46.64986526528185,80.12435166963556,55.67605894552019,-46.29603817610594,47.19047278596736,40.77505312982672,21.58142882299947,41.27723968725584,17.495232876448785,Unattained target,RandomSampler,PRUNED
31,31,5.229826911853337,2026-04-10 11:23:28.989262,2026-04-10 11:23:33.384531,0 days 00:00:04.395269,89.20477776793716,97.97745945600577,72.68649501874444,-61.556310066681036,37.028238965459764,22.95828286118129,69.15314818955113,44.20834924967762,18.409154502059952,94.23875968652602,92.63246835584788,48.026926045802746,-36.456540515968335,35.66350958508971,28.030804159022935,24.145467276778362,45.47102065062216,11.829635017595887,Unattained target,RandomSampler,PRUNED
32,32,6.480427688656778,2026-04-10 11:23:33.553179,2026-04-10 11:23:37.770620,0 days 00:00:04.217441,17.40745625691467,28.38152520425465,21.982258105133706,-73.34762580400715,52.498919529418615,95.92103980211243,24.71634800616432,41.52877678442295,24.24569892213209,31.47671244962736,33.32238562339511,36.476543601295866,-65.42399647481102,13.67955045210267,92.71408311126987,44.770980240367145,44.42969217750982,14.608797065256354,Unattained target,RandomSampler,PRUNED
33,33,8.914115894387933,2026-04-10 11:23:37.937081,2026-04-10 11:23:42.128557,0 days 00:00:04.191476,86.46333862013483,14.664364392676173,77.78945713606161,-41.39755333236146,93.28319139409025,27.30712316321559,79.93389648772559,49.088575929554764,14.574131778808395,82.68031419015426,55.028405272446165,25.18656078047731,-79.96140584669267,56.779886270456984,83.05535752468433,75.71028547461837,39.65097409092471,15.005640039567652,Unattained target,RandomSampler,PRUNED
34,34,5.009440900873194,2026-04-10 11:23:42.256027,2026-04-10 11:23:46.481904,0 days 00:00:04.225877,83.55273516034369,26.812602759597162,85.51471786238932,-58.73976677886199,32.90073554238714,40.18572567578782,57.062374804260386,38.56286486323365,15.311433445477663,16.106933265485456,21.920476070221227,14.849604894569307,-32.16376645742559,50.25011121626981,31.962255899372586,52.10492355688403,31.469720019323802,27.490243099246975,Unattained target,RandomSampler,PRUNED
35,35,5.04020267420924,2026-04-10 11:23:46.640690,2026-04-10 11:23:52.888847,0 days 00:00:06.248157,47.169158666966744,18.33569813032161,29.40284802603508,-72.99242392544123,29.352819916310217,51.48276320168564,75.60607297772852,41.46674409680551,21.381180362692174,63.174311454236694,16.929045521840266,28.745482980983788,-62.92184144945948,50.44462165140554,16.436288115162014,37.092319467447204,42.19753306155079,13.245473267588022,Unattained target,RandomSampler,PRUNED
36,36,8.135083380638918,2026-04-10 11:23:53.036454,2026-04-10 11:23:57.308115,0 days 00:00:04.271661,40.51820124526387,97.61127709391408,74.33301889725577,-66.80854713115906,34.037499190185,13.571294094908929,60.854402710501226,42.83854282175081,23.029666706512234,65.75030295405654,43.05993916402091,40.49212931628338,-61.476918264707024,27.45314512672012,84.54789530071206,30.665155919577217,41.91758847085927,11.300601252371383,Unattained target,RandomSampler,PRUNED
