,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
10,10,,2026-05-18 13:59:38.603222,2026-05-18 13:59:38.839063,0 days 00:00:00.235841,81.18240954599187,51.37915594231243,57.236771365591885,-16.529703996477735,37.594665116333395,46.66206228056704,70.49001242845655,26.925201093096106,119.18492237438252,3.527786618182936,48.464309862785804,72.74613874123261,-54.68292983863297,14.379415973478618,3.8968554612984514,75.1178854053188,82.67466419469699,-28.31631696869311,Unfeasible shape,,PRUNED
11,11,,2026-05-18 13:59:38.940753,2026-05-18 13:59:39.184264,0 days 00:00:00.243511,51.302872123043606,11.352586642108164,3.031601332596928,-74.75910391817702,55.53963334043475,60.860992876273706,30.106393349890094,15.202237224402303,95.45328163752407,22.86878672370411,31.692116297183574,36.76511612352706,-61.85318599304942,11.741729341130632,56.84534524301518,49.50208376593208,57.034389535004934,26.500841143071625,Unfeasible shape,,PRUNED
12,12,,2026-05-18 13:59:39.282963,2026-05-18 13:59:39.562516,0 days 00:00:00.279553,25.190609904507504,95.98446276859565,50.600716679138294,-69.43100887961363,5.838031306400557,70.04848389889656,13.605177667917296,31.121600773423097,95.85829498366648,66.2232135998728,46.26566518433557,13.678731515697082,-46.37777061447455,78.37047657933462,10.850976701191936,35.57680735132378,51.280746900442054,-21.94884045246236,Unfeasible shape,,PRUNED
13,13,,2026-05-18 13:59:39.653665,2026-05-18 13:59:39.894788,0 days 00:00:00.241123,11.58819764523754,71.29737805119218,66.78685006215154,-77.66893002072058,23.45853005344738,58.75204592909665,60.47072373607667,4.807736171127232,37.7615925659842,49.697806752614824,37.0773265893767,83.21897696189038,-78.0697833370146,15.470218959406598,22.151421757511343,67.73735410975456,26.221039628981707,-2.2933178399814835,Unfeasible shape,,PRUNED
14,14,47.08763954167404,2026-05-18 13:59:39.986138,2026-05-18 14:00:36.987967,0 days 00:00:57.001829,89.78750271795614,4.299574224114572,83.95964147617202,-46.490356995667454,59.13826820774093,13.348241120193201,95.9914536495507,-32.988566821699784,58.13405114800668,91.44504050108114,81.35256901719642,37.84238469721359,-31.752750284871745,57.647874877583426,61.85190293802119,43.11231798621287,-6.2400674103331255,39.54665148665245,,,COMPLETE
15,15,,2026-05-18 14:00:38.385507,2026-05-18 14:00:41.467872,0 days 00:00:03.082365,68.001160516711,42.781218667564616,38.2125410268417,-51.117174499795574,56.01471599751384,75.09437858159218,41.945567083596146,36.6902485258946,27.832668095583344,40.958695333612766,52.74865233145042,46.45246675709199,-72.1584801052193,53.69795244101516,50.145322043468695,66.56237150902318,16.148192646096618,9.15802579247545,Unfeasible shape,0.0,PRUNED
16,16,,2026-05-18 14:00:41.586985,2026-05-18 14:00:41.852690,0 days 00:00:00.265705,51.581550253176175,14.316309593474081,35.24467021311919,-53.81386365678799,26.133482737667443,60.2940351533642,54.745589955663654,10.529845054696267,89.34835180086688,59.09341987764368,32.641616042907366,35.825458445128895,-67.20989769663288,20.599732683822605,24.308617311175094,20.409833152083706,50.04328788227926,-14.932437015060717,Unfeasible shape,0.0,PRUNED
17,17,,2026-05-18 14:00:41.952533,2026-05-18 14:00:42.202435,0 days 00:00:00.249902,52.168416763541664,24.702561881262746,54.21032953861919,-46.92603325273083,61.04297478067715,40.48277182729553,48.13596765414588,32.3980983061649,97.32431453977725,37.29748091856083,60.706165052174114,58.20421052879678,-57.67336819169954,65.99449032873255,66.67356473718442,48.49913856890482,38.0977100146093,20.679382351039635,Unfeasible shape,0.0,PRUNED
18,18,,2026-05-18 14:00:42.305542,2026-05-18 14:00:42.568765,0 days 00:00:00.263223,65.05538706090698,25.44630497476977,55.75555656538443,-39.60391369754717,41.77135637153084,35.518186048153524,75.93311259286943,13.079512001240175,21.500171636582508,55.1784795343921,58.36889395419361,19.752025305484096,-41.51166295059376,34.03469785897431,73.64409572392097,59.77203870371807,29.02164950561268,-9.81483979084678,Unfeasible shape,0.0,PRUNED
19,19,,2026-05-18 14:00:42.669089,2026-05-18 14:00:42.914456,0 days 00:00:00.245367,47.61615520748186,24.111401080219164,74.45146380444213,-48.728195991267995,33.81656515296942,49.182424558638424,37.72446378589207,12.07468917928945,54.296033222429,46.53565300684992,73.2974167604173,31.14870588353641,-48.31912610387626,55.26804753066168,64.93564631653058,54.36792426625361,47.64444296000866,-3.186475583543789,Unfeasible shape,0.0,PRUNED
