Study                  : no-name-b33cf3c0-5860-44cd-8f60-cf545cc2eb69
- Start                : 2026-05-12 22:08:41.725436
- End                  : 2026-05-13 04:48:47.042927
- Duration             : 6:40:05.317491
- Sampler              : CmaEsSampler
- Pruner               : HyperbandPruner
- Trials               : 2000
-- Completed trials    : 1411, 70.55 %
-- Pruned trials       : 589, 29.45 %
--- Unfeasible shapes  : 589, 100.00 %
--- Unattained targets : 0, 0.00 %
-- Failed trials       : 0, 0.00 %
-- Parameters          :
                         lowPt.rL1	: [10,100]
                         lowPt.rL2	: [10,100]
                         lowPt.x2	: [0,75]
                         lowPt.y2	: [0,75]
                         lowPt.rA2	: [-80,-20]
                         lowPt.rL3	: [10,100]
                         highPt.rL1	: [10,100]
                         highPt.rL2	: [10,100]
                         highPt.x2	: [0,75]
                         highPt.y2	: [0,75]
                         highPt.rA2	: [-80,-20]
                         highPt.rL3	: [10,100]
-- Results             : 
                         Trial number : 1081, Value : 40.993822, Duration : 0:00:16.475177
                         Trial number : 829, Value : 40.994046, Duration : 0:00:15.597793
                         Trial number : 1816, Value : 40.994077, Duration : 0:00:17.933130
                         Trial number : 1837, Value : 40.994093, Duration : 0:00:13.342634
                         Trial number : 1607, Value : 40.994330, Duration : 0:00:14.174166
                         Trial number : 1834, Value : 40.995120, Duration : 0:00:15.053742
                         Trial number : 1320, Value : 40.995142, Duration : 0:00:14.387061
                         Trial number : 1653, Value : 40.995286, Duration : 0:00:15.404773
                         Trial number : 1883, Value : 40.995511, Duration : 0:00:13.344419
                         Trial number : 1024, Value : 40.995522, Duration : 0:00:17.304652
                         Trial number : 1875, Value : 40.995554, Duration : 0:00:13.380607
                         Trial number : 1223, Value : 40.995785, Duration : 0:00:15.604867
                         Trial number : 1996, Value : 40.995835, Duration : 0:00:14.961863
                         Trial number : 1852, Value : 40.995837, Duration : 0:00:14.737928
                         Trial number : 1088, Value : 40.995888, Duration : 0:00:15.688958
                         Trial number : 1544, Value : 40.995990, Duration : 0:00:13.241091
                         Trial number : 1742, Value : 40.996150, Duration : 0:00:15.434765
                         Trial number : 1233, Value : 40.996184, Duration : 0:00:15.036603
                         Trial number : 1704, Value : 40.996459, Duration : 0:00:13.554422
                         Trial number : 1928, Value : 40.996578, Duration : 0:00:15.732701
                         Trial number : 1853, Value : 40.996673, Duration : 0:00:16.849716
                         Trial number : 1530, Value : 40.996933, Duration : 0:00:15.310182
                         Trial number : 1891, Value : 40.997050, Duration : 0:00:14.895025
                         Trial number : 1755, Value : 40.997242, Duration : 0:00:17.360722
                         Trial number : 1918, Value : 40.997246, Duration : 0:00:13.814325
                         Trial number : 1630, Value : 40.997318, Duration : 0:00:15.589648
                         Trial number : 1744, Value : 40.997351, Duration : 0:00:14.896032
                         Trial number : 931, Value : 40.997468, Duration : 0:00:17.833921
                         Trial number : 1865, Value : 40.997597, Duration : 0:00:12.926408
                         Trial number : 1741, Value : 40.997708, Duration : 0:00:14.960253
                         Trial number : 872, Value : 40.997959, Duration : 0:00:13.209085
                         Trial number : 1921, Value : 40.997968, Duration : 0:00:13.639132
                         Trial number : 1809, Value : 40.997995, Duration : 0:00:14.790749
                         Trial number : 1391, Value : 40.998178, Duration : 0:00:16.390077
                         Trial number : 1848, Value : 40.998224, Duration : 0:00:17.082955
                         Trial number : 1291, Value : 40.998253, Duration : 0:00:13.010846
                         Trial number : 1670, Value : 40.998406, Duration : 0:00:13.318422
