,number,value,datetime_start,datetime_complete,duration,params_lLegPt.lL0,params_lLegPt.lL1,params_lLegPt.lL2,params_lLegPt.rA1,params_lLegPt.rL0,params_lLegPt.rL1,params_lLegPt.rL2,params_lLegPt.x1,params_lLegPt.y1,params_sLegMotor,params_sLegPt.lL0,params_sLegPt.lL1,params_sLegPt.lL2,params_sLegPt.rA1,params_sLegPt.rL0,params_sLegPt.rL1,params_sLegPt.rL2,params_sLegPt.x1,params_sLegPt.y1,params_sLegPulley,user_attrs_prune,system_attrs_auto:sampler,state
10,10,6.0,2026-01-30 17:34:38.564357,2026-01-30 17:34:38.643708,0 days 00:00:00.079351,95.53095379605466,25.461383281530345,90.23402271507933,-42.92445917059348,35.32252105143891,89.06698689997472,44.708137566343545,46.57444948226113,19.703722005891514,75.0,87.10763422293878,63.56260974312361,30.231657546885483,-43.76863565924539,41.67203215488483,26.71341225824708,53.54080587744633,41.69374646436186,16.160360058949756,5.0,Unfeasible shape,RandomSampler,PRUNED
11,11,6.0,2026-01-30 17:34:38.760075,2026-01-30 17:34:38.824290,0 days 00:00:00.064215,87.34061276732507,14.495109172986822,25.23419721633786,-45.9674009670186,38.56705373923559,79.84008288096474,90.26250577638898,48.39831819157352,29.668514770602197,90.0,25.867029158522037,83.95856849015287,86.99657056394065,-36.07123351715518,79.14748083206732,45.13723931832743,26.18466697268554,40.87041051388833,10.64233490466643,10.0,Unfeasible shape,RandomSampler,PRUNED
12,12,8.893310883411338,2026-01-30 17:34:38.941971,2026-01-30 17:34:42.582403,0 days 00:00:03.640432,27.79497802967885,33.325005393298994,50.36121631330179,-54.361090400330994,75.64499127166236,89.62360504275843,89.8553508931946,30.108891089466596,20.801423629787095,100.0,43.84232729918157,42.04094275716433,16.18963791682357,-56.8222824065824,58.85575322791982,79.8661475509629,63.01853040135733,39.797146628954984,12.115519511490113,10.0,Unattained target,RandomSampler,PRUNED
13,13,6.0,2026-01-30 17:34:42.700207,2026-01-30 17:34:42.759316,0 days 00:00:00.059109,95.23489226967288,19.247518848855986,68.12490833868748,-63.81837067074095,35.45685065529159,68.04936483149982,69.08448629992368,30.31813997602926,28.576954412976615,95.0,51.526844158033946,66.86139631071829,38.615892274027615,-40.624388168791604,97.89296041141813,71.83868591999114,50.29216580660099,46.86166277711415,25.671226206687756,5.0,Unfeasible shape,RandomSampler,PRUNED
14,14,6.235488064212944,2026-01-30 17:34:42.873554,2026-01-30 17:34:46.418399,0 days 00:00:03.544845,84.69585437326351,10.504840856314472,43.06938411714006,-33.8855171550872,38.38766946408255,58.5073025324208,96.57403884501568,41.80484680986153,11.971474072453747,95.0,63.20289969745639,89.84024306508022,73.75780477900365,-65.25381060161278,97.39811597175142,75.211015408255,49.736953881398115,37.609859821596174,13.073906188702464,10.0,Unattained target,RandomSampler,PRUNED
15,15,6.0,2026-01-30 17:34:46.525178,2026-01-30 17:34:46.600899,0 days 00:00:00.075721,13.13892012058276,68.60445497652437,28.784309786615466,-55.436813680335916,89.27883454535583,51.52758132807557,99.98530923301848,41.91655755886814,12.499383248725255,90.0,98.80138334491023,68.55390611925387,91.1486112697308,-25.732414609399775,85.89909166628513,89.00071955470625,41.26869130391426,47.93843184004009,23.569190217832947,10.0,Unfeasible shape,RandomSampler,PRUNED
16,16,5.705250042515612,2026-01-30 17:34:46.718201,2026-01-30 17:34:50.251627,0 days 00:00:03.533426,18.006068980269077,16.915292918668257,20.960805793151792,-55.88707676719048,81.32682891392537,99.63422806164483,65.28165921754766,33.85754041814024,16.73023736828919,95.0,49.01446361412939,38.574544159882436,33.81166107361378,-42.35322485331334,55.36424021419924,74.71850481133497,42.39690999963643,36.86463089628478,14.5444564074931,5.0,Unattained target,RandomSampler,PRUNED
17,17,6.0,2026-01-30 17:34:50.369899,2026-01-30 17:34:50.454942,0 days 00:00:00.085043,79.76146959810451,93.68978501250297,92.23385885512579,-36.925886249795546,76.01106441372548,36.15959081098046,64.11465678882975,35.4862395554097,23.36729611297309,85.0,10.168477008248802,83.74744843118016,76.75931003352942,-71.91515715177589,72.15291206965969,86.40051224674215,28.118544337337784,43.03878706314116,21.373169956811083,5.0,Unfeasible shape,RandomSampler,PRUNED
18,18,6.0,2026-01-30 17:34:50.568871,2026-01-30 17:34:50.636910,0 days 00:00:00.068039,59.48271051422341,44.75115936621485,54.11581759626964,-71.73523097309018,71.32540275402742,22.695614583951134,37.96963522883185,36.439738849733715,18.933257235746268,105.0,79.50577596091,44.2490314066251,79.03601811696171,-22.15044456823975,87.3112561997627,46.8460978057741,20.059192931695513,44.58130215863393,11.636402507745638,5.0,Unfeasible shape,RandomSampler,PRUNED
19,19,12.907184810562633,2026-01-30 17:34:50.764975,2026-01-30 17:34:54.470607,0 days 00:00:03.705632,20.975927398157317,55.01943478616947,56.256800385884496,-26.22696583261083,47.98419195354189,97.31185390450634,35.5101721641263,45.60678747390813,14.13015340006432,110.0,39.49866966290587,74.78461038215447,84.31114111702527,-53.823030999940165,87.47689104471335,21.329446101880073,94.09958138277702,44.320739363515216,22.79012227505617,5.0,Unattained target,RandomSampler,PRUNED
