,number,value,datetime_start,datetime_complete,duration,params_highPt.lL1,params_highPt.lL2,params_highPt.lL3,params_highPt.rA2,params_highPt.rL1,params_highPt.rL2,params_highPt.rL3,params_highPt.x2,params_highPt.y2,params_lowPt.lL1,params_lowPt.lL2,params_lowPt.lL3,params_lowPt.rA2,params_lowPt.rL1,params_lowPt.rL2,params_lowPt.rL3,params_lowPt.x2,params_lowPt.y2,user_attrs_prune,system_attrs_cma:generation,state
10,10,45.67082469736397,2026-05-18 14:02:37.166644,2026-05-18 14:03:40.410951,0 days 00:01:03.244307,67.40201922719257,42.01752529546214,44.40740787347107,-55.28987944065801,31.710109120430392,34.408927284585495,48.56793705681601,24.97083918033897,-1.9230671152610057,72.37448022998002,58.12279499186643,49.699293038586895,-44.80345973296382,44.25725739307656,22.017619904823555,51.722870598282995,4.254686912909246,-13.811906177242761,,0.0,COMPLETE
11,11,,2026-05-18 14:03:41.806145,2026-05-18 14:03:42.028447,0 days 00:00:00.222302,64.85793203162129,45.99668352301998,73.16861261613774,-67.63151301014251,63.58752343158459,21.430323832216853,42.77294001805256,9.175441119076972,58.993720426652075,20.551039501610703,53.981309954638775,67.61500666821281,-47.98180223914888,63.56213182055741,17.60762457110729,47.557632834572075,44.797961320239246,-21.44539322056063,Unfeasible shape,0.0,PRUNED
12,12,42.98849532407099,2026-05-18 14:03:42.134501,2026-05-18 14:04:54.032626,0 days 00:01:11.898125,69.09003597888115,44.63017718002643,48.08690437801937,-66.52120836669683,56.77484210900511,56.37500860235538,34.741508010861494,-0.010828169798728027,31.29644275790259,56.629850368645094,59.64836723060131,47.528496114799836,-43.85044906425889,51.74416782754188,48.96442152543852,56.205407969649876,7.850251501710272,-3.96712694614164,,0.0,COMPLETE
13,13,,2026-05-18 14:04:55.575886,2026-05-18 14:04:55.851626,0 days 00:00:00.275740,53.79370071316917,31.644706298825305,19.673646125419257,-30.50448494992576,53.92923716939244,90.23014882718462,20.51240557377272,-10.895611252722848,65.57900246011897,29.804970058884273,37.536072027597044,53.02694448244184,-41.040563094356706,32.94589997026789,78.81054695477198,42.85263717972555,57.50641057798673,-25.32046894090049,Unfeasible shape,0.0,PRUNED
14,14,,2026-05-18 14:04:55.965941,2026-05-18 14:04:56.241227,0 days 00:00:00.275286,71.75931814605717,49.54379868974553,40.24832365349788,-32.1702607875739,43.01595287310815,40.76724485296945,41.50857068161076,8.121617071328664,57.44340607710073,54.26520232516787,70.41862405043351,32.132830570035594,-77.21462251581502,28.083426651693333,16.001302781759485,38.504212118910836,24.86950110276404,22.456784398006974,Unfeasible shape,0.0,PRUNED
15,15,,2026-05-18 14:04:56.345798,2026-05-18 14:04:56.591938,0 days 00:00:00.246140,36.6972671492331,64.09686214922974,59.30784185313284,-46.080699204899446,41.26957775557398,46.668303538890996,39.38195392971132,3.857487821341735,50.00366621937266,56.37768351457917,45.04984932529758,44.03386232985478,-25.714461388073737,20.842826190871005,57.16347334301032,39.34742720192792,28.63283885620355,21.190577443349625,Unfeasible shape,0.0,PRUNED
16,16,44.158084049753064,2026-05-18 14:04:56.701591,2026-05-18 14:06:04.392379,0 days 00:01:07.690788,58.56292881603986,86.54280573076932,36.54518251623535,-49.272277274735366,44.16740892493302,66.25724548653632,84.54768970400124,-1.9785257507903538,39.06000742122341,87.76283553228109,41.56733417550539,62.17794120462433,-42.49569839895548,18.972539685272338,37.26054007049674,41.409667488711676,21.64969516766579,2.093446427247514,,0.0,COMPLETE
17,17,,2026-05-18 14:06:05.771471,2026-05-18 14:06:06.053333,0 days 00:00:00.281862,51.67035283358382,65.56038796675547,43.12790493436773,-41.10344663598861,64.15173349879049,31.976498744102397,72.96662722905702,30.13482044709525,12.001264516974246,79.6386533580013,49.21847618051734,43.45800699030696,-39.0608132767832,50.15700883990649,37.08090883161453,42.58175918126087,47.32363468588379,-3.4794405759596074,Unfeasible shape,0.0,PRUNED
18,18,,2026-05-18 14:06:06.169381,2026-05-18 14:06:06.439720,0 days 00:00:00.270339,31.394021216222903,67.94262024342402,65.83458041444477,-49.298335271548055,55.991954751006915,68.27124774232938,58.28006068816672,35.95074240253268,61.07600537013428,43.102678046715965,40.68644112370402,84.36796749401616,-49.3084134006907,51.43095181829602,49.06084206756972,63.04350036648316,56.45147848854944,-11.427382094903134,Unfeasible shape,0.0,PRUNED
19,19,,2026-05-18 14:06:06.545741,2026-05-18 14:06:06.784126,0 days 00:00:00.238385,35.35567826827507,68.94121364959523,43.67054195402829,-33.08978335295283,45.941407842040675,42.40920802265412,55.83376819375982,23.602250210454436,71.86928614256495,53.26178762587963,55.679204363705104,26.776882574219936,-60.26948810631184,66.4143020758418,33.827038729423656,50.60261521972339,62.34909177546612,-26.615479626029213,Unfeasible shape,0.0,PRUNED
